Portien,rateconst,Abundance,PeptideCount
1433B_MOUSE,0.297362,36814700000,8
1433E_MOUSE,0.301345,151009000000,18
1433F_MOUSE,0.395838,9990150000,4
1433G_MOUSE,0.373152,40348800000,7
1433T_MOUSE,0.557099,34048700000,10
1433Z_MOUSE,0.315191,190710000000,12
2A5E_MOUSE,0.699308,452491000,1
2AAA_MOUSE,0.367434,47263300000,20
2ABA_MOUSE,0.407918,141848000,2
3BHS1_MOUSE,2.107528,11285800000,2
3BHS3_MOUSE,0.525015,91584100000,8
3BHS4_MOUSE,0.128268,51143900000,6
3BHS5_MOUSE,0.081787,73155100000,16
3BHS7_MOUSE,0.4964,20062500000,7
3HAO_MOUSE,0.274415,759517000000,14
3HIDH_MOUSE,0.133821,324359000000,29
6PGD_MOUSE,0.204022,70075400000,10
6PGL_MOUSE,0.147595,47754400000,10
A16A1_MOUSE,0.346589,28745100000,11
A1AT1_MOUSE,1.423138,160849000000,12
A1AT2_MOUSE,1.026774,51438300000,11
A1AT4_MOUSE,3.058109,25257500000,4
A1AT5_MOUSE,1.723492,71772700000,6
A1CF_MOUSE,0.613226,22358200000,14
A2AP_MOUSE,2.554797,1852520000,2
AAAD_MOUSE,0.363017,347302000000,21
AACS_MOUSE,0.597911,17794400000,7
AADAT_MOUSE,0.121178,100703000000,15
AAKB1_MOUSE,0.155725,93661500,1
AAKG1_MOUSE,3.689535,922480000,3
AAPK1_MOUSE,0.473001,663129000,1
AASS_MOUSE,0.188842,453630000000,48
AATC_MOUSE,0.215463,460595000000,29
AATM_MOUSE,0.119005,2790320000000,41
ABCA6_MOUSE,0.413981,4461640000,8
ABCB7_MOUSE,0.126307,5333430000,6
ABCBA_MOUSE,0.041655,1117750000,3
ABCBB_MOUSE,0.416291,91050200000,25
ABCD1_MOUSE,0.39923,407014000,1
ABCD3_MOUSE,0.406575,481002000000,34
ABCE1_MOUSE,0.390784,31543600000,9
ABCF1_MOUSE,0.425634,1382980000,2
ABCF2_MOUSE,0.727442,1131200000,2
ABCG2_MOUSE,0.00012,4050840000,5
ABHD3_MOUSE,0.273516,1097620000,1
ABHD6_MOUSE,0.400289,3432520000,6
ABHDB_MOUSE,0.005271,17282900000,8
ABHEB_MOUSE,0.191086,367177000000,14
ACACA_MOUSE,0.52864,53798400000,32
ACACB_MOUSE,0.522499,9451520000,10
ACAD8_MOUSE,0.149601,66641900000,15
ACAD9_MOUSE,0.188805,23806900000,9
ACADL_MOUSE,0.156552,553352000000,28
ACADM_MOUSE,0.257071,450792000000,18
ACADS_MOUSE,0.130481,766558000000,31
ACADV_MOUSE,0.378182,601979000000,39
ACATN_MOUSE,0.365007,1165680000,1
ACBD5_MOUSE,0.983053,40181200000,10
ACBP_MOUSE,0.346635,998206000000,15
ACD10_MOUSE,0.146581,16098700000,13
ACD11_MOUSE,0.685823,79945500000,14
ACDSB_MOUSE,0.369413,79003700000,13
ACLY_MOUSE,0.587644,458667000000,39
ACNT1_MOUSE,0.195093,6792430000,3
ACO12_MOUSE,0.502469,12988700000,8
ACO13_MOUSE,0.078314,19609500000,5
ACOC_MOUSE,0.233093,631825000000,46
ACON_MOUSE,0.133164,1151560000000,44
ACOT1_MOUSE,0.166794,51910000000,11
ACOT2_MOUSE,0.286284,3046070000,5
ACOT4_MOUSE,0.24848,4863190000,4
ACOT8_MOUSE,0.377334,782318000,1
ACOX1_MOUSE,1.20251,2280600000000,58
ACOX2_MOUSE,0.535322,159475000000,20
ACOX3_MOUSE,NaN,670299000,1
ACPM_MOUSE,0.079681,1839260000,1
ACS2L_MOUSE,0.004302,907539000,2
ACSA_MOUSE,0.44461,94294400000,15
ACSF2_MOUSE,0.209681,640880000000,36
ACSF3_MOUSE,0.312602,8960630000,7
ACSL1_MOUSE,0.334832,1717260000000,48
ACSL4_MOUSE,5.470195,2099500000,2
ACSL5_MOUSE,0.398432,354841000000,33
ACSM1_MOUSE,0.151613,1275500000000,44
ACSM2_MOUSE,NaN,850438000,1
ACSM3_MOUSE,0.144699,24647900000,10
ACSM5_MOUSE,0.150534,112280000000,24
ACSS3_MOUSE,0.167855,2927870000,5
ACTBL_MOUSE,0.202227,1688940000000,9
ACTB_MOUSE,0.207927,4854080000000,37
ACTC_MOUSE,0.154487,478300000000,8
ACTN1_MOUSE,0.259952,183478000000,37
ACTN4_MOUSE,0.268336,281477000000,40
ACTY_MOUSE,0.178592,9873430000,7
ACTZ_MOUSE,8.282985,5443140000,6
ACY1_MOUSE,0.24493,33661800000,7
ACY3_MOUSE,0.164962,49891400000,10
ADDA_MOUSE,NaN,213786000,1
ADH1_MOUSE,0.196963,7169820000000,30
ADH4_MOUSE,0.255105,18283800000,9
ADHX_MOUSE,0.213363,729704000000,20
ADK_MOUSE,0.321433,462959000000,25
ADPGK_MOUSE,0.498998,4201990000,3
ADPRS_MOUSE,0.150862,168549000,1
ADRO_MOUSE,0.002305,5399410000,5
ADT1_MOUSE,0.175259,514501000000,8
ADT2_MOUSE,0.20498,949757000000,25
ADX_MOUSE,NaN,13823800000,3
AFAD_MOUSE,0.277234,1398580000,4
AFG32_MOUSE,0.129341,6601900000,4
AGK_MOUSE,0.196315,2995750000,1
AGM1_MOUSE,0.256489,3619800000,3
AGRIN_MOUSE,NaN,50698000,1
AGT2_MOUSE,0.125811,201773000000,23
AHSA1_MOUSE,0.45835,9555640000,4
AIFM1_MOUSE,0.148238,409216000000,27
AIMP1_MOUSE,0.01745,3448790000,6
AIMP2_MOUSE,0.106345,18741500000,8
AK1A1_MOUSE,0.246899,556752000000,21
AK1CD_MOUSE,0.245918,377537000000,26
AK1D1_MOUSE,0.263097,209705000000,19
AKC1H_MOUSE,0.193661,364381000000,5
AKCL2_MOUSE,0.225124,83020200000,5
AL1A1_MOUSE,0.281582,6210760000000,59
AL1A7_MOUSE,0.26233,388844000000,21
AL1B1_MOUSE,0.141527,187901000000,30
AL1L1_MOUSE,0.336089,4430410000000,99
AL3A2_MOUSE,0.297777,461429000000,23
AL4A1_MOUSE,0.104148,691843000000,28
AL7A1_MOUSE,0.175359,1304580000000,36
AL8A1_MOUSE,0.250981,829479000000,33
AL9A1_MOUSE,0.220517,452358000000,30
ALAT1_MOUSE,0.434909,327408000000,29
ALAT2_MOUSE,0.805219,62217800000,17
ALBU_MOUSE,0.272381,5025900000000,76
ALDH2_MOUSE,0.486633,6131550000000,50
ALDOA_MOUSE,0.348088,63444600000,10
ALDOB_MOUSE,0.445283,7383190000000,35
ALDOC_MOUSE,0.204704,12834400000,3
ALDR_MOUSE,0.147746,6228580000,3
ALG2_MOUSE,0.335332,952693000,3
ALG5_MOUSE,0.290905,2899690000,2
ALR_MOUSE,0.150521,7908950000,5
AMACR_MOUSE,0.294868,167989000000,17
AMBP_MOUSE,1.453767,2890890000,3
AMPB_MOUSE,0.25287,13146000000,10
AMPE_MOUSE,0.597155,8488970000,7
AMPL_MOUSE,0.293936,1002120000000,46
AMPN_MOUSE,0.894097,29848000000,19
AMRP_MOUSE,0.606981,4900070000,6
AN32A_MOUSE,0.293432,20124500000,5
AN32B_MOUSE,0.329966,7644150000,3
ANFY1_MOUSE,0.173835,1400640000,3
ANK1_MOUSE,0.00034,377569000,2
ANM1_MOUSE,0.146701,664699000,2
ANT3_MOUSE,2.959629,29420900000,9
ANX11_MOUSE,1.352018,4918950000,3
ANXA1_MOUSE,NaN,378413000,1
ANXA2_MOUSE,0.063239,27278200000,16
ANXA3_MOUSE,0.532125,1941750000,2
ANXA4_MOUSE,0.34848,100901000000,12
ANXA5_MOUSE,0.202957,182510000000,21
ANXA6_MOUSE,0.346831,298393000000,28
ANXA7_MOUSE,0.497448,28521500000,6
AOFA_MOUSE,0.208995,9663690000,7
AOFB_MOUSE,0.211135,218667000000,20
AOXA_MOUSE,0.249628,11857500000,13
AOXC_MOUSE,0.452146,857691000000,50
AP1B1_MOUSE,0.118297,107662000000,30
AP1G1_MOUSE,0,5479840000,7
AP1M1_MOUSE,0.260973,5431020000,6
AP1S1_MOUSE,0.304382,2293280000,1
AP2A1_MOUSE,0.187061,18436600000,13
AP2A2_MOUSE,0.147656,77880200000,29
AP2B1_MOUSE,0.196791,46894500000,18
AP2M1_MOUSE,0.238437,39992300000,9
AP3B1_MOUSE,0.257832,4106740000,4
AP3D1_MOUSE,0.439087,1255600000,3
AP3M1_MOUSE,0.478254,232228000,1
AP3S1_MOUSE,0.649628,643988000,1
APEH_MOUSE,0.222,32695000000,13
APEX1_MOUSE,0.206296,13494200000,9
API5_MOUSE,NaN,1277370000,1
APMAP_MOUSE,0.290771,9954950000,4
APOA1_MOUSE,3.387808,88283600000,8
APOB_MOUSE,4.857222,21277500000,18
APOC3_MOUSE,0.894271,607722000,1
APOE_MOUSE,8.82516,118984000000,10
APOH_MOUSE,NaN,757843000,2
APT_MOUSE,0.453054,3286030000,4
AQP1_MOUSE,0.276664,15928600000,2
ARAF_MOUSE,0.470106,600188000,2
ARC1A_MOUSE,0.10778,8343380000,6
ARC1B_MOUSE,0.107191,28435100000,11
ARF1_MOUSE,0.528111,187030000000,9
ARF4_MOUSE,0.621367,14960300000,3
ARF5_MOUSE,1.400474,1568820000,1
ARF6_MOUSE,0.12013,26060300000,7
ARFG1_MOUSE,0.363842,32501100,1
ARFG2_MOUSE,0.707812,6650250000,7
ARGI1_MOUSE,0.229242,4448590000000,39
ARI2_MOUSE,0.318345,356447000,1
ARK72_MOUSE,0.195538,233540000000,12
ARL1_MOUSE,2.060338,1525420000,5
ARL8A_MOUSE,0.125478,1320550000,3
ARL8B_MOUSE,0.311426,4780580000,4
ARLY_MOUSE,0.308545,1687440000000,46
ARMC1_MOUSE,0.174925,2032980000,1
ARP10_MOUSE,1.543046,22979900,1
ARP2_MOUSE,0.137428,93867000000,14
ARP3_MOUSE,0.204287,105843000000,14
ARP5L_MOUSE,0.183032,5541350000,3
ARPC2_MOUSE,0.138363,27631800000,13
ARPC3_MOUSE,0.120943,15658000000,5
ARPC4_MOUSE,0.130007,14695800000,3
ARPC5_MOUSE,0.221731,22149800000,5
ARSB_MOUSE,NaN,219290000,1
ARY2_MOUSE,0.280526,12618800000,8
AS3MT_MOUSE,0.46433,18768600000,8
ASAH1_MOUSE,0.14608,16706200000,7
ASGL1_MOUSE,0.160182,266293000,1
ASGR1_MOUSE,1.473418,36364500000,6
ASPC1_MOUSE,0.730005,1874050000,5
ASPD_MOUSE,0.199564,173525000000,19
ASPH_MOUSE,0.287446,3830970000,2
ASSY_MOUSE,0.28277,6706030000000,47
AT11C_MOUSE,0.134839,62632400000,21
AT131_MOUSE,0.269979,6451830000,7
AT1A1_MOUSE,0.195043,272953000000,35
AT1A4_MOUSE,0.049861,94982500,1
AT1B1_MOUSE,0.19001,56951600000,9
AT1B3_MOUSE,8.749161,4183840000,4
AT2A2_MOUSE,0.433596,84628000000,24
AT2B1_MOUSE,0.40391,566469000,2
AT2L1_MOUSE,2.143515,18419500000,7
AT5F1_MOUSE,0.137814,199716000000,19
ATAD1_MOUSE,0.40537,2381800000,3
ATAD3_MOUSE,0.098235,31462000000,11
ATG3_MOUSE,0.342485,1245750000,1
ATG4B_MOUSE,0.002681,35118400,1
ATG5_MOUSE,NaN,245488000,1
ATG7_MOUSE,0.465683,7056960000,6
ATLA2_MOUSE,0.555755,7293890000,7
ATLA3_MOUSE,0.274729,27859900000,13
ATOX1_MOUSE,0.496271,23133700000,3
ATP5E_MOUSE,0.06372,26639200000,1
ATP5H_MOUSE,0.138537,649859000000,22
ATP5I_MOUSE,0.1196,170107000000,5
ATP5J_MOUSE,0.182371,2226990000,2
ATP5L_MOUSE,0.113807,429547000000,7
ATP8_MOUSE,NaN,555428000,1
ATPA_MOUSE,0.153322,4897280000000,37
ATPB_MOUSE,0.134472,6716270000000,66
ATPD_MOUSE,0.135125,45374600000,2
ATPG_MOUSE,0.106974,352972000000,12
ATPK_MOUSE,0.118408,186065000000,2
ATPMK_MOUSE,0.21099,148971000000,5
ATPO_MOUSE,0.115541,951217000000,19
ATTY_MOUSE,0.371204,707094000,1
ATX10_MOUSE,0.154163,4482320000,1
ATX2L_MOUSE,0.017597,176470000,1
ATX2_MOUSE,0.555422,524010000,2
AUHM_MOUSE,0.099478,13726700000,4
B2L13_MOUSE,0.006319,2830960000,4
B3AT_MOUSE,0.000132,10505400000,8
B4GT1_MOUSE,0.347352,164870000,1
BAAT_MOUSE,0.520743,170433000000,15
BABA1_MOUSE,0.104013,468802000,2
BABA2_MOUSE,0.404593,831287000,1
BACH_MOUSE,0.119371,2840750000,4
BAG3_MOUSE,0.71035,2518740000,4
BAG6_MOUSE,0.157593,1130350000,1
BAP31_MOUSE,0.307881,54763600000,10
BASI_MOUSE,0.43071,44206800000,7
BAX_MOUSE,3.430414,154258000,1
BCAP_MOUSE,0.661313,436494000,1
BCS1_MOUSE,0.151584,607512000,2
BDH2_MOUSE,0.116916,971980000,1
BDH_MOUSE,0.158285,603234000000,21
BGAL_MOUSE,0.130968,2182590000,3
BGLR_MOUSE,0.128958,23627700000,12
BHMT1_MOUSE,0.248898,8430310000000,40
BIEA_MOUSE,0.265792,6754430000,2
BIP_MOUSE,0.443518,2892490000000,57
BLMH_MOUSE,0.200787,5682040000,6
BLVRB_MOUSE,0.187153,256537000000,13
BODG_MOUSE,1.029301,34864900000,8
BOLA1_MOUSE,0.513931,2578660000,4
BPHL_MOUSE,0.166486,277820000000,15
BPNT1_MOUSE,0.306155,112158000000,13
BRCC3_MOUSE,0.829948,1038040000,2
BRI3B_MOUSE,0.303285,1440640000,2
BT3L4_MOUSE,0.237532,19188800000,4
BTF3_MOUSE,0.401399,5180740000,4
BUB3_MOUSE,NaN,1008820000,1
BUP1_MOUSE,0.443457,42754500000,12
BZW1_MOUSE,0.422574,882343000,3
C1QBP_MOUSE,0.11801,24965200000,4
C1TC_MOUSE,0.196663,599126000000,44
C2CD2_MOUSE,0.474611,2059540000,2
C4BPA_MOUSE,0.601387,717258000,1
C560_MOUSE,0.14219,47070200000,9
CA050_MOUSE,0.186596,152988000,1
CADH2_MOUSE,0.31523,5360200000,4
CAF17_MOUSE,0.118906,2177890000,2
CAH14_MOUSE,0.482611,3537270000,2
CAH1_MOUSE,0.005642,7454060000,7
CAH2_MOUSE,0.018899,51101400000,11
CAH3_MOUSE,0.211402,11750800000000,40
CAH5A_MOUSE,0.228581,21185900000,6
CAH8_MOUSE,1.208097,2783240000,3
CALB1_MOUSE,0.024088,112243000,1
CALM1_MOUSE,0.216409,17655900000,5
CALR_MOUSE,0.385608,730444000000,26
CALU_MOUSE,0.498647,1901390000,2
CALX_MOUSE,0.67197,206837000000,20
CAN1_MOUSE,0.284788,2586060000,2
CAN2_MOUSE,0.281219,2310080000,5
CAND1_MOUSE,0.297386,71306100000,28
CAP1_MOUSE,0.326036,69862300000,15
CAPR1_MOUSE,0.57282,21949000000,6
CAPZB_MOUSE,0.278615,49631400000,11
CASP6_MOUSE,0.326811,315142000,1
CASP8_MOUSE,0.567181,427158000,2
CATA_MOUSE,1.113534,4204950000000,53
CATB_MOUSE,0.349356,209194000000,16
CATC_MOUSE,0.364722,18819700000,5
CATD_MOUSE,0.246533,144356000000,14
CATF_MOUSE,0.041952,2017580000,4
CATH_MOUSE,0.325837,67189300000,4
CATL1_MOUSE,2.126298,2976880000,3
CATS_MOUSE,0.279203,540124000,1
CATZ_MOUSE,0.294498,56596100000,12
CAZA1_MOUSE,0.148068,3700000000,3
CAZA2_MOUSE,0.22258,43933400000,11
CB072_MOUSE,0.456062,1797840000,1
CBPQ_MOUSE,0.146658,22198400000,6
CBR1_MOUSE,0.193093,214665000000,17
CBR3_MOUSE,NaN,1457520000,1
CBR4_MOUSE,0.141042,58831100000,12
CBS_MOUSE,0.562009,217771000000,22
CBX3_MOUSE,1.034303,2333980000,1
CC50A_MOUSE,0.269302,9316300000,4
CCD22_MOUSE,0.190935,315125000,2
CCD25_MOUSE,0.173113,477201000,1
CCD47_MOUSE,0.342222,10854900000,10
CCD93_MOUSE,0.191919,230003000,1
CCS_MOUSE,1.616047,1476490000,2
CD166_MOUSE,0.320946,3997900000,3
CD302_MOUSE,8.69971,1331570000,1
CD38_MOUSE,0.063865,1926780000,1
CD47_MOUSE,0.135877,3363170000,1
CD81_MOUSE,0.344594,5297250000,3
CD82_MOUSE,NaN,1041100000,1
CDC37_MOUSE,0.71527,1559880000,2
CDC42_MOUSE,1.237838,15387600000,4
CDC73_MOUSE,NaN,58040000,1
CDIPT_MOUSE,0.203684,2829090000,4
CDS2_MOUSE,0.595577,2337240000,2
CDV3_MOUSE,0.60308,251863000,1
CEAM1_MOUSE,0.385577,10351200000,3
CELF1_MOUSE,0.2007,4841440000,3
CENPV_MOUSE,0.049362,32749700000,8
CEPT1_MOUSE,0.335168,1097160000,2
CERS2_MOUSE,0.875839,22784000000,5
CERU_MOUSE,1.676165,10381500000,7
CFAH_MOUSE,3.379447,955462000,3
CGL_MOUSE,0.24799,727434000000,27
CH082_MOUSE,0.118606,1761010000,1
CH10_MOUSE,0.213291,410502000000,4
CH60_MOUSE,0.143825,2308220000000,61
CHCH2_MOUSE,NaN,1344660000,1
CHDH_MOUSE,0.143065,234198000000,32
CHIL3_MOUSE,0.049696,286986000,1
CHLE_MOUSE,8.037819,1035130000,1
CHM4B_MOUSE,1.311424,1737910000,1
CHMP6_MOUSE,9.767239,158586000,1
CHRD1_MOUSE,0.387851,3375620000,4
CING_MOUSE,0.325347,2804900000,5
CISD1_MOUSE,0.197299,118050000000,6
CISD2_MOUSE,0.221758,7289140000,4
CISD3_MOUSE,0.120263,1010280000,1
CISY_MOUSE,0.083494,167983000000,15
CK054_MOUSE,0.277846,284664000000,22
CK5P3_MOUSE,0.401056,1094030000,2
CLC4F_MOUSE,2.095293,3995350000,3
CLCB_MOUSE,0.559453,3125020000,1
CLH1_MOUSE,0.178653,786604000000,98
CLIC1_MOUSE,0.133834,3228400000,4
CLIC4_MOUSE,0.254113,28012800000,11
CLPP_MOUSE,0.261478,15438700000,3
CLPT1_MOUSE,0.791773,1022860000,2
CLPX_MOUSE,1.632422,15198700000,10
CLU_MOUSE,0.776516,33038100000,18
CLYBL_MOUSE,0.126307,42176400000,10
CMAH_MOUSE,NaN,224940000,1
CMBL_MOUSE,0.25834,68236100000,14
CMC1_MOUSE,0.181463,150998000000,18
CMC2_MOUSE,0.14984,695898000000,44
CMLO1_MOUSE,0.584703,5080250000,1
CMTD1_MOUSE,0.232644,2893800000,2
CNBP_MOUSE,0.940238,3252250000,1
CNDP2_MOUSE,0.283738,52149000000,16
CNN3_MOUSE,0.735002,3130400000,2
CNPY2_MOUSE,0.361831,21293900000,7
CO1A1_MOUSE,0.02399,8122670000,4
CO3_MOUSE,5.496514,147735000000,30
CO4A1_MOUSE,0.085047,5123720000,4
CO4A2_MOUSE,0.028497,3596830000,5
CO4B_MOUSE,1.630116,10845300000,12
CO5_MOUSE,0.949837,297527000,2
CO6A1_MOUSE,0.005699,31664200000,10
CO6A2_MOUSE,0.000486,11517200000,11
CO8B_MOUSE,1.714029,1063160000,2
CO8G_MOUSE,4.363684,7526030000,4
CO9_MOUSE,8.118717,68013100,1
COA7_MOUSE,0.267836,138495000,1
COASY_MOUSE,0.327189,98621800000,17
COBL1_MOUSE,0.157232,3849130000,8
COEA1_MOUSE,0.166068,1432870000,5
COF1_MOUSE,0.409347,191785000000,14
COF2_MOUSE,0.236248,10889600000,5
COIA1_MOUSE,1.530728,2667720000,2
COMT_MOUSE,0.52212,421716000000,26
COPA_MOUSE,0.459541,117878000000,36
COPB2_MOUSE,0.360312,58391800000,21
COPB_MOUSE,0.436463,68865100000,19
COPD_MOUSE,0.722007,15663000000,7
COPE_MOUSE,0.403347,13285100000,6
COPG1_MOUSE,0.388392,63164700000,33
COPG2_MOUSE,0.350162,1975060000,4
COPT1_MOUSE,0.90419,4386400000,2
COPZ1_MOUSE,1.155769,3800030000,3
COQ6_MOUSE,0.122892,8190320000,7
COQ7_MOUSE,0.229562,7562700000,3
COQ8A_MOUSE,0.648831,64317200000,13
COQ9_MOUSE,0.239878,19498600000,4
COR1A_MOUSE,0.529078,2199340000,4
COR1B_MOUSE,0.159706,18044800000,5
COR1C_MOUSE,0.216654,10078300000,5
CORO7_MOUSE,0.10441,5506650000,5
COTL1_MOUSE,0.129669,2108370000,1
COX15_MOUSE,0.594821,1887270000,3
COX1_MOUSE,0.088761,79220900000,6
COX20_MOUSE,0.105132,271546000,1
COX2_MOUSE,0.074373,591434000000,15
COX3_MOUSE,0.118156,241783000,1
COX41_MOUSE,0.149749,541407000000,17
COX5A_MOUSE,0.215733,45423500000,6
COX5B_MOUSE,0.123771,17230000000,6
COX6C_MOUSE,0.160492,101067000000,9
COX7R_MOUSE,1.059165,1057260000,1
CP17A_MOUSE,0.117394,68557600,1
CP1A2_MOUSE,1.075382,280703000000,32
CP20A_MOUSE,0.088246,125732000,1
CP237_MOUSE,1.072538,350388000000,26
CP240_MOUSE,1.193873,114006000000,13
CP254_MOUSE,0.58591,127591000000,14
CP255_MOUSE,0.075576,2499900000,2
CP270_MOUSE,3.799909,62538200000,20
CP27A_MOUSE,0.435863,253098000000,17
CP2A4_MOUSE,1.152678,79818800000,10
CP2A5_MOUSE,1.510022,72231600000,16
CP2AC_MOUSE,0.635214,396199000000,33
CP2CN_MOUSE,1.506027,119993000000,14
CP2CT_MOUSE,0.989948,740686000000,27
CP2D9_MOUSE,0.966816,475030000000,28
CP2DA_MOUSE,0.712737,626301000000,27
CP2DB_MOUSE,0.592936,15815400000,3
CP2DQ_MOUSE,0.928048,377397000000,23
CP2E1_MOUSE,1.581623,546559000000,20
CP2F2_MOUSE,0.93096,720294000000,32
